,Strike,Last Price,Volume,Symbol,Volume_Ratio,Type,Margin,Option_Expiration_Date,Current Price,Percentage,Prob
38,6.5,0.14,15045,GE,13.501923076923077,call,0.007587230084125891,"August 28, 2020",6.590000152587891,-0.006033159489005923,0.827239236817507
39,6.5,0.07,6284,GE,11.07988607079886,put,0.0030349244498934593,"August 28, 2020",6.590000152587891,-0.006033159489005923,0.17276076318249298
40,67.5,0.15,775,GILD,12.60412534708449,call,0.024224025349225353,"August 28, 2020",66.05000305175781,-0.0004539489746093492,0.3853804077573347
41,66.0,0.6,309,GILD,11.535067873303166,put,-0.008326978392585407,"August 28, 2020",66.05000305175781,-0.0004539489746093492,0.6146195922426654
42,1600.0,22.0,654,GOOG,13.100607697501689,call,0.008568497809942177,"August 28, 2020",1608.219970703125,0.012605446860045935,0.7923919795921065
43,1600.0,13.56,278,GOOG,8.516156105749054,put,-0.003320459510610543,"August 28, 2020",1608.219970703125,0.012605446860045935,0.20760802040789353
44,1.5,0.02,1702,HTZ,5.945109780439122,call,0.06293710192536349,"August 28, 2020",1.4299999475479126,-0.02054798113156669,0.6108020814642025
45,1.5,0.09,241,HTZ,6.366037735849057,put,-0.11188815267192627,"August 28, 2020",1.4299999475479126,-0.02054798113156669,0.38919791853579755
46,14.0,0.2,1857,INO,7.991580129104687,call,0.12519810846027762,"August 28, 2020",12.619999885559082,0.03104574228423871,0.3350473612990528
47,12.0,0.27,2730,INO,17.695206511908353,put,0.027733747126224843,"August 28, 2020",12.619999885559082,0.03104574228423871,0.6649526387009472
48,50.0,0.24,11559,INTC,16.215874975449623,call,0.01638680335471101,"August 28, 2020",49.43000030517578,0.005901512111839249,0.7959738784129644
49,49.0,0.29,2452,INTC,14.924332549453592,put,0.002832294240571185,"August 28, 2020",49.43000030517578,0.005901512111839249,0.2040261215870356
50,35.0,1.9,826,KC,8.55072463768116,call,0.0827464206992984,"September 18, 2020",34.08000183105469,0.02005393089059237,0.9988543788187373
51,30.0,0.6,3,KC,2.0,put,0.10211272429814275,"September 18, 2020",34.08000183105469,0.02005393089059237,0.001145621181262729
52,400.0,1.52,906,LMT,16.41744966442953,call,0.01691825479704654,"August 28, 2020",394.8399963378906,-0.00050628711550576,0.9418652367794709
53,385.0,0.85,100,LMT,7.868852459016393,put,0.022768707378361164,"August 28, 2020",394.8399963378906,-0.00050628711550576,0.05813476322052909
54,7.0,0.07,4280,M,12.362002567394095,call,0.07610347264453522,"August 28, 2020",6.570000171661377,-0.006051411246387801,0.6218347862183479
55,6.0,0.04,4555,M,10.543981481481481,put,0.08066973482701661,"August 28, 2020",6.570000171661377,-0.006051411246387801,0.37816521378165213
